true_label,predicted_label,latency,raw_response
Sports,Sports,0.621201753616333,Sports
Business,Business,0.4817216396331787,Business
Sports,Sports,0.3581204414367676,Sports
Business,Business,0.36982083320617676,Business
Sci/Tech,Sci/Tech,0.4474790096282959,Sci/Tech
World,Business,0.4393801689147949,Business
Business,Business,0.5757489204406738,Business
Business,Business,0.47066593170166016,Business
Sci/Tech,Business,0.576277494430542,Business
Business,Business,0.5111126899719238,Business
World,Business,0.5514905452728271,"**Entertainment** 

While it touches on business"
Sports,Sports,0.43001627922058105,Sports
Sports,Sports,0.45209288597106934,Sports
World,World,0.4014921188354492,World
Business,Business,0.46871018409729004,Business
Sci/Tech,Sci/Tech,0.3883817195892334,Sci/Tech
World,World,0.3666810989379883,World
Sports,Sports,0.5338826179504395,Sports
World,World,0.5475339889526367,World
Sci/Tech,Sci/Tech,0.4497520923614502,Sci/Tech
World,World,0.5382444858551025,World
Sci/Tech,Business,0.4118804931640625,Business
Sports,Sports,0.47092366218566895,Sports
Sports,Sports,0.37059450149536133,Sports
World,World,0.48969554901123047,World
Business,Business,0.4705541133880615,Business
Business,Business,0.4833831787109375,Business
Business,Business,0.47888827323913574,Business
Business,Business,0.4189455509185791,Business
Sci/Tech,Business,0.43466711044311523,Business
Business,Business,0.3737654685974121,Business
Sci/Tech,Sci/Tech,0.34939146041870117,Sci/Tech
Business,Business,0.4350414276123047,Business
Business,Business,0.4907848834991455,Business
Sci/Tech,Business,0.39720749855041504,Business
World,Business,0.44740772247314453,Business
World,Sports,0.5793650150299072,Sports
Business,Business,0.35517287254333496,Business
World,Business,0.5269536972045898,Business
Sports,Sports,0.4168095588684082,Sports
Sports,Sports,0.514352560043335,Sports
World,World,0.5202136039733887,World
World,World,0.3683130741119385,World
Sci/Tech,Sci/Tech,0.4319636821746826,Sci/Tech
World,World,0.35007452964782715,World
Sports,Sports,0.47492194175720215,Sports
Business,Business,0.374377965927124,Business
Sports,Sports,0.4447777271270752,Sports
Business,Business,0.3592817783355713,Business
Sports,Sports,0.38848423957824707,Sports
Sci/Tech,Business,0.3962244987487793,Business
Sci/Tech,Sci/Tech,0.4634265899658203,Sci/Tech
Sci/Tech,Business,0.433361291885376,Business
Business,Business,0.4566624164581299,Business
Sports,Sports,0.4212055206298828,Sports
Business,Business,0.47839832305908203,Business
World,World,0.42227602005004883,World
Sci/Tech,Sci/Tech,0.44984960556030273,Sci/Tech
