true_label,predicted_label,latency,raw_response
Sports,Sports,0.3666210174560547,Sports
Business,Business,0.5068950653076172,Business
Sports,Sports,0.3697075843811035,Sports
Business,Business,0.471221923828125,Business
Sci/Tech,Sci/Tech,0.47876429557800293,Sci/Tech
World,Business,0.4752936363220215,Business
Business,Business,0.431689977645874,Business
Business,Business,0.4554464817047119,Business
Sci/Tech,Sci/Tech,0.4466063976287842,Sci/Tech
Business,Business,0.4608886241912842,Business
World,World,0.3771193027496338,Category: World
Sports,Sports,0.5668530464172363,Sports
Sports,Sports,0.47249412536621094,Sports
World,World,0.47630763053894043,World
Business,Business,0.522768497467041,Business
Sci/Tech,Sci/Tech,0.3744852542877197,Sci/Tech
World,World,0.49852466583251953,World
Sports,Sports,0.5005776882171631,Sports
World,World,0.591123104095459,World
Sci/Tech,Sci/Tech,0.4318685531616211,Sci/Tech
World,World,0.5233752727508545,World
Sci/Tech,Business,0.4132695198059082,Business
Sports,Sports,0.4755380153656006,Sports
Sports,Sports,0.35443592071533203,Sports
World,World,0.4836103916168213,World
Business,Business,0.4670841693878174,Business
Business,Business,0.5117053985595703,Business
Business,Business,0.42847704887390137,Business
Business,Business,0.5258867740631104,Business
Sci/Tech,Business,0.49092674255371094,Business
Business,Business,0.4814882278442383,Business
Sci/Tech,Sci/Tech,0.47954440116882324,Sci/Tech
Business,Business,0.4852721691131592,Business
Business,Business,0.4237043857574463,Business
Sci/Tech,Business,0.4998643398284912,Business
World,Business,0.5028238296508789,Business
World,Sports,0.4640796184539795,Sports
Business,Business,0.4728569984436035,Business
World,Business,0.39706850051879883,Business
Sports,Sports,0.4837818145751953,Sports
Sports,Sports,0.484935998916626,Sports
World,World,0.4661571979522705,World
World,World,0.4660923480987549,World
Sci/Tech,Sci/Tech,0.5135469436645508,Sci/Tech
World,World,0.5352969169616699,World
Sports,Sports,0.4782133102416992,Sports
Business,Business,0.513413667678833,Business
Sports,Sports,0.4775879383087158,Sports
Business,Business,0.40315747261047363,Business
Sports,Sports,0.418346643447876,Sports
Sci/Tech,Sci/Tech,0.44556498527526855,Sci/Tech
Sci/Tech,Sci/Tech,0.48931360244750977,Sci/Tech
Sci/Tech,Business,0.47504281997680664,Business
Business,Business,0.577916145324707,Business
Sports,Sports,0.47362399101257324,Sports
Business,Business,0.486346960067749,Business
World,World,0.46091413497924805,World
Sci/Tech,Sci/Tech,0.47081518173217773,Sci/Tech
Business,Business,0.36909937858581543,Business
Sports,Sports,0.4183173179626465,Sports
