true_label,predicted_label,latency,raw_response
Sports,Sports,6.641434192657471,"The news article provided falls under the ""Sports"
Business,Business,4.939891815185547,"The news article provided falls into the ""Business"
Sports,Sports,5.126697301864624,"The news article provided falls under the ""Sports"
Business,Business,5.012621879577637,"The news article provided falls into the ""Business"
Sci/Tech,,6.275987386703491,"The news article provided falls under the ""Sci"
World,,5.221140146255493,"The news article provided falls under the category of """
Business,Business,5.278640031814575,"The news article provided falls under the ""Business"
Business,,5.338726758956909,"The news article provided falls under the category of """
Sci/Tech,,5.317325592041016,"The news article provided falls under the category of """
Business,Business,5.384710073471069,"The news article provided falls under the ""Business"
World,Sports,5.229037761688232,"The news article provided falls under the ""Sports"
Sports,Sports,5.471337080001831,"The news article provided falls under the ""Sports"
Sports,Sports,5.475674152374268,"The news article provided falls under the ""Sports"
World,,6.754868268966675,"The news article provided falls under the category of """
Business,Business,5.4855122566223145,"The news article provided falls under the ""Business"
Sci/Tech,,6.4042134284973145,"The news article provided falls under the category of """
World,,5.552060604095459,"The news article provided falls under the category of """
Sports,,5.5820136070251465,"The news article provided falls under the category of """
World,World,5.489260673522949,"The news article provided falls under the ""World"""
Sci/Tech,,5.555073976516724,The news article provided is about a video game called
World,World,5.779306888580322,"The news article provided falls into the ""World"""
Sci/Tech,,5.33044171333313,The news article provided should be classified under the
Sports,,5.459932804107666,The news article provided should be classified under the
Sports,Sports,5.578120470046997,"The news article provided falls under the ""Sports"
World,,5.713683366775513,"The news article provided falls under the category of """
Business,,5.485356092453003,"The news article provided falls under the category of """
Business,Business,5.547710418701172,"The news article provided falls under the ""Business"
Business,Business,5.386225938796997,"The news article provided falls under the ""Business"
Business,,5.574999570846558,"The news article provided falls under the category of """
Sci/Tech,Business,5.554566860198975,"The news article provided falls into the ""Business"
Business,Business,5.437088966369629,"The news article provided falls into the ""Business"
Sci/Tech,,4.87500786781311,The news article 'Cisco joins WiMax
Business,Business,5.3399658203125,"The news article provided falls under the ""Business"
Business,Business,5.543318033218384,"The news article provided falls under the ""Business"
Sci/Tech,Business,5.446113348007202,"The news article provided falls under the ""Business"
World,,5.549725294113159,"The news article provided falls under the category of """
World,,5.507641077041626,"The news article provided falls under the category of """
Business,Business,5.397589683532715,"The news article provided falls into the ""Business"
World,,5.4823057651519775,The news article provided should be classified under the
Sports,Sports,6.093564510345459,"The news article provided falls under the ""Sports"
Sports,Sports,5.477437973022461,"The news article provided falls under the ""Sports"
World,,5.4703545570373535,"The news article provided falls under the category of """
World,,5.478247404098511,"The news article provided falls under the category of """
Sci/Tech,,7.407520294189453,"The news article provided falls under the ""Sci"
World,,5.373502969741821,"The news article provided falls under the category of """
Sports,Sports,6.115362644195557,"The news article provided falls under the ""Sports"
Business,,5.451919078826904,"The news article provided falls under the category of """
Sports,Sports,5.786930561065674,"The news article provided falls under the ""Sports"
Business,,5.5773749351501465,"The news article provided falls under the category of """
Sports,Sports,5.518094301223755,"The news article provided falls under the ""Sports"
Sci/Tech,Business,5.427363634109497,"The news article provided falls under the ""Business"
Sci/Tech,,5.333218097686768,"The news article provided falls under the category of """
Sci/Tech,Business,5.602494239807129,"The news article provided falls under the ""Business"
Business,Business,5.587272644042969,"The news article provided falls under the ""Business"
Sports,,5.509274482727051,"The news article provided falls under the category of """
Business,Business,5.558956861495972,"The news article provided falls under the ""Business"
World,World,5.375854969024658,"The news article provided falls under the ""World"""
Sci/Tech,,5.5303590297698975,The news article provided should be classified under the
Business,Business,5.528069257736206,"The news article provided falls under the ""Business"
Sports,Sports,5.402042388916016,"The news article provided falls under the ""Sports"
Business,Business,5.626124620437622,"The news article provided falls under the ""Business"
Sports,Sports,7.125656604766846,"The news article provided falls under the ""Sports"
World,Sports,7.349817276000977,"The news article provided falls into the ""Sports"
Business,Business,5.393885850906372,"The news article provided falls under the ""Business"
Sports,Sports,5.486771106719971,The news article provided seems to be about a sports
Sci/Tech,,5.3684234619140625,The news article provided seems to be discussing unusual
Sci/Tech,,5.469804048538208,"The news article provided falls under the category of """
Sports,,5.54549503326416,"The news article provided falls under the category of """
Sports,Sports,5.4581639766693115,"The news article provided falls under the ""Sports"
Business,,5.5978875160217285,The news article provided should be classified under the
World,,5.633082866668701,"The news article provided falls under the category of """
Sports,Sports,5.5753631591796875,"The news article provided falls under the ""Sports"
World,World,5.353237867355347,"The news article provided falls under the ""World"""
World,World,5.534002065658569,"The news article should be classified as ""World"
World,,5.380959987640381,"The news article provided falls under the category of """
Sports,,7.488847255706787,"The news article provided falls under the category of """
Sports,,5.576463222503662,"The news article provided falls under the category of """
Sci/Tech,Business,5.570684194564819,"The news article provided falls under the ""Business"
Sci/Tech,,5.470998048782349,"The news article provided falls into the ""Sci"
Business,Business,5.432947635650635,"The news article provided falls under the ""Business"
World,,5.501602649688721,"The news article provided falls under the category of """
Sports,Sports,5.484097957611084,"The news article provided falls under the ""Sports"
Sports,Sports,5.456629991531372,"The news article provided falls under the ""Sports"
World,World,5.457281112670898,"The news article provided falls into the ""World"""
Sports,Sports,5.578208923339844,"The news article provided falls under the ""Sports"
Sci/Tech,,5.619216203689575,"The news article provided falls under the ""Sci"
Sports,Sports,5.461481332778931,"The news article provided falls under the ""Sports"
Business,Business,5.443500995635986,"The news article provided falls into the ""Business"
World,,5.48749852180481,"The news article provided falls under the ""Sci"
Business,,5.505408525466919,The news article provided should be classified under the
Sports,,5.4452805519104,"The news article provided falls under the category of """
Business,,5.54318642616272,The news article provided seems to be discussing the
Business,Business,5.573699474334717,"The news article provided falls under the ""Business"
Sports,,5.4314398765563965,"The news article provided falls under the category of """
Business,Business,5.585390567779541,"The news article provided falls into the ""Business"
Business,Business,5.411388397216797,"The news article provided falls under the ""Business"
Business,Business,5.503145456314087,"The news article provided falls into the ""Business"
Sci/Tech,,5.432769536972046,"The news article provided falls under the ""Sci"
Business,Business,5.634074449539185,"The news article provided falls under the ""Business"
Business,,5.554188251495361,The news article provided seems to be discussing a
